deck_id,annotator,slide,claim_index,claim_text,claim_key,slide_title,label,evidence_text,ambiguity_note,context,flag
arts_01__claudecode,시나,1,1,"마그레브의 공생, 전유, 그리고 균열","마그레브의 공생, 전유, 그리고 균열","유대-아랍 음악과
 문화정체성",근거 있음,"유대-아랍 음악과 문화정체성: 마그레브의 공생, 전유, 그리고 균열",,"[""[제목] 유대-아랍 음악과
문화정체성"", ""[부제] 마그레브의 공생, 전유, 그리고 균열"", ""[출처표기] 임성희 | 한국예술연구 제52호""]",
arts_01__claudecode,시나,1,2,임성희 | 한국예술연구 제52호,임성희 | 한국예술연구 제52호,"유대-아랍 음악과
 문화정체성",근거 있음,임성희 유대-아랍 음악과 문화정체성 131 / 한국예술연구 제52호,,"[""[제목] 유대-아랍 음악과
문화정체성"", ""[부제] 마그레브의 공생, 전유, 그리고 균열"", ""[출처표기] 임성희 | 한국예술연구 제52호""]",
arts_01__claudecode,시나,2,3,공유된 전통,공유된 전통,발표 구성,Benign,,,"[제목] 발표 구성
[목차항목] 공유된 전통
[목차항목] 01
[목차항목] 안달루시아 음악 속 유대-무슬림 공생
[목차항목] 에드몽 야필
[목차항목] 02
[목차항목] 전략적 중재자의 두 얼굴
[목차항목] 식민주의와 음반 산업
[목차항목] 03
[목차항목] 크레미외 법령과 위계의 전도
[목차항목] 간전기의 역설
[목차항목] 04
[목차항목] 산업적 주도권 vs 민족주의 부메랑
[목차항목] 균열과 종언
[목차항목] 05
[목차항목] 청각적 게토화에서 셰이크 레이몽까지",
arts_01__claudecode,시나,2,4,안달루시아 음악 속 유대-무슬림 공생,안달루시아 음악 속 유대-무슬림 공생,발표 구성,Benign,,,"[제목] 발표 구성
[목차항목] 공유된 전통
[목차항목] 01
[목차항목] 안달루시아 음악 속 유대-무슬림 공생
[목차항목] 에드몽 야필
[목차항목] 02
[목차항목] 전략적 중재자의 두 얼굴
[목차항목] 식민주의와 음반 산업
[목차항목] 03
[목차항목] 크레미외 법령과 위계의 전도
[목차항목] 간전기의 역설
[목차항목] 04
[목차항목] 산업적 주도권 vs 민족주의 부메랑
[목차항목] 균열과 종언
[목차항목] 05
[목차항목] 청각적 게토화에서 셰이크 레이몽까지",
arts_01__claudecode,시나,2,5,에드몽 야필,에드몽 야필,발표 구성,Benign,,,"[제목] 발표 구성
[목차항목] 공유된 전통
[목차항목] 01
[목차항목] 안달루시아 음악 속 유대-무슬림 공생
[목차항목] 에드몽 야필
[목차항목] 02
[목차항목] 전략적 중재자의 두 얼굴
[목차항목] 식민주의와 음반 산업
[목차항목] 03
[목차항목] 크레미외 법령과 위계의 전도
[목차항목] 간전기의 역설
[목차항목] 04
[목차항목] 산업적 주도권 vs 민족주의 부메랑
[목차항목] 균열과 종언
[목차항목] 05
[목차항목] 청각적 게토화에서 셰이크 레이몽까지",
arts_01__claudecode,시나,2,6,전략적 중재자의 두 얼굴,전략적 중재자의 두 얼굴,발표 구성,Benign,,,"[제목] 발표 구성
[목차항목] 공유된 전통
[목차항목] 01
[목차항목] 안달루시아 음악 속 유대-무슬림 공생
[목차항목] 에드몽 야필
[목차항목] 02
[목차항목] 전략적 중재자의 두 얼굴
[목차항목] 식민주의와 음반 산업
[목차항목] 03
[목차항목] 크레미외 법령과 위계의 전도
[목차항목] 간전기의 역설
[목차항목] 04
[목차항목] 산업적 주도권 vs 민족주의 부메랑
[목차항목] 균열과 종언
[목차항목] 05
[목차항목] 청각적 게토화에서 셰이크 레이몽까지",
arts_01__claudecode,시나,2,7,식민주의와 음반 산업,식민주의와 음반 산업,발표 구성,Benign,,,"[제목] 발표 구성
[목차항목] 공유된 전통
[목차항목] 01
[목차항목] 안달루시아 음악 속 유대-무슬림 공생
[목차항목] 에드몽 야필
[목차항목] 02
[목차항목] 전략적 중재자의 두 얼굴
[목차항목] 식민주의와 음반 산업
[목차항목] 03
[목차항목] 크레미외 법령과 위계의 전도
[목차항목] 간전기의 역설
[목차항목] 04
[목차항목] 산업적 주도권 vs 민족주의 부메랑
[목차항목] 균열과 종언
[목차항목] 05
[목차항목] 청각적 게토화에서 셰이크 레이몽까지",
arts_01__claudecode,시나,2,8,크레미외 법령과 위계의 전도,크레미외 법령과 위계의 전도,발표 구성,Benign,,,"[제목] 발표 구성
[목차항목] 공유된 전통
[목차항목] 01
[목차항목] 안달루시아 음악 속 유대-무슬림 공생
[목차항목] 에드몽 야필
[목차항목] 02
[목차항목] 전략적 중재자의 두 얼굴
[목차항목] 식민주의와 음반 산업
[목차항목] 03
[목차항목] 크레미외 법령과 위계의 전도
[목차항목] 간전기의 역설
[목차항목] 04
[목차항목] 산업적 주도권 vs 민족주의 부메랑
[목차항목] 균열과 종언
[목차항목] 05
[목차항목] 청각적 게토화에서 셰이크 레이몽까지",
arts_01__claudecode,시나,2,9,간전기의 역설,간전기의 역설,발표 구성,Benign,,,"[제목] 발표 구성
[목차항목] 공유된 전통
[목차항목] 01
[목차항목] 안달루시아 음악 속 유대-무슬림 공생
[목차항목] 에드몽 야필
[목차항목] 02
[목차항목] 전략적 중재자의 두 얼굴
[목차항목] 식민주의와 음반 산업
[목차항목] 03
[목차항목] 크레미외 법령과 위계의 전도
[목차항목] 간전기의 역설
[목차항목] 04
[목차항목] 산업적 주도권 vs 민족주의 부메랑
[목차항목] 균열과 종언
[목차항목] 05
[목차항목] 청각적 게토화에서 셰이크 레이몽까지",
arts_01__claudecode,시나,2,10,산업적 주도권 vs 민족주의 부메랑,산업적 주도권 vs 민족주의 부메랑,발표 구성,Benign,,,"[제목] 발표 구성
[목차항목] 공유된 전통
[목차항목] 01
[목차항목] 안달루시아 음악 속 유대-무슬림 공생
[목차항목] 에드몽 야필
[목차항목] 02
[목차항목] 전략적 중재자의 두 얼굴
[목차항목] 식민주의와 음반 산업
[목차항목] 03
[목차항목] 크레미외 법령과 위계의 전도
[목차항목] 간전기의 역설
[목차항목] 04
[목차항목] 산업적 주도권 vs 민족주의 부메랑
[목차항목] 균열과 종언
[목차항목] 05
[목차항목] 청각적 게토화에서 셰이크 레이몽까지",
